Num,Exponent,Time
Num,Exponent,Time
Num,Exponent,Time
0,2,15.896725416183472
1,3,19.513648986816406
2,5,18.796562433242798
3,7,20.334792375564575
4,13,26.04729413986206
5,17,38.946526288986206
6,19,28.997891187667847
7,31,20.712215185165405
8,61,22.120632648468018
9,89,22.820851802825928
10,107,26.542380332946777
11,127,32.86618685722351
12,521,32.96434140205383
13,607,31.159428358078003
14,1279,34.971842765808105
15,2203,57.164835691452026
16,2281,52.0389130115509
17,3217,70.82566118240356
18,4253,139.4151303768158
19,4423,140.63402891159058
20,9689,715.6079530715942
21,9941,767.9548435211182
22,11213,945.3661799430847
23,19937,4484.59722161293
